titulo,streams,daily,es_feature
I Can Do It With a Broken Heart - Dombresky Remix,"7,581,840","5,461",No
Ronan,"7,571,085","1,293",No
Long Live - Live/2011,"7,413,704","1,622",No
Elizabeth Taylor - So Glamorous Cabaret Version,"7,388,684","26,563",No
Ours - Live/2011,"7,343,533","1,190",No
Haunted - Live/2011,"7,247,742","1,818",No
Last Kiss - Live/2011,"6,993,407","1,771",No
Speak Now - Live/2011,"6,913,264","1,312",No
ig Star (with Taylor Swift) - Live,"6,769,583","2,501",Si
Opalite - Life Is A Song Acoustic Version,"6,420,232","23,526",No
I Know Places - Voice Memo,"6,362,759",625,No
Ruin The Friendship - My Advice Version,"6,286,651","27,460",No
Our Song,"6,146,060",823,No
Blank Space - Voice Memo,"5,178,492",541,No
I Can Do It With a Broken Heart - Instrumental,"4,998,457","2,086",No
I Wish You Would - Voice Memo,"4,882,443",480,No
The Life of a Showgirl (feat. Sabrina Carpenter) - Dressing Room Rehearsal Version,"4,622,747","15,919",No
Love Story - Pop Mix,"4,608,134",581,No
Anti-Hero - Roosevelt Remix,"4,562,224","3,315",No
Lavender Haze - Tensnake Remix,"4,495,508","1,761",No
"Macavity - From The Motion Picture Soundtrack ""Cats""","4,283,732","1,024",No
Eldest Daughter - Now You’re Home Acoustic Version,"3,841,085","17,203",No
Lavender Haze - Jungle Remix,"3,036,405","1,100",No
Christmas Tree Farm - Recorded Live at the 2019 iHeartRadio Jingle Ball,"2,911,280",309,No
Love Story - Live From Clear Channel Stripped 2008,"2,792,301","1,218",No
Beautiful Eyes - Live From Clear Channel Stripped 2008,"2,501,804",985,No
You're Not Sorry - CSI Remix,"2,497,614",468,No
Fortnight (feat. Post Malone) - Cults Remix,"2,084,017",596,No
Fearless - Live From Clear Channel Stripped 2008,"1,709,790",841,No
Wildest Dreams (Arr. Lawson for Harp),"1,629,002","1,798",No
The Last Time - Karaoke Version,"1,610,133","3,303",No
The Fate of Ophelia - Track by Track,"1,559,394","2,378",No
Love Story - J Stax Radio Mix,"1,399,907",74,No
Elizabeth Taylor - Track by Track,"1,381,478","2,108",No
Opalite - Track by Track,"1,278,609","2,085",No
Father Figure - Track by Track,"1,219,967","1,945",No
Cruel Summer - LP Giobbi Remix - Extended Version,"1,171,033","1,283",No
Eldest Daughter - Track by Track,"1,134,827","1,883",No
Untouchable - Live From Clear Channel Stripped 2008,"1,099,549",634,No
Ruin The Friendship - Track by Track,"1,043,919","1,824",No
Teardrops On My Guitar - Live From Clear Channel Stripped 2008,"1,033,193",379,No
Actually Romantic - Track by Track,"1,031,330","1,719",No
Should've Said No - Live From Clear Channel Stripped 2008,"1,029,340",408,No
Picture To Burn - Live From Clear Channel Stripped 2008,"1,005,277",408,No
Wi$h Li$t - Track by Track,"990,416","1,714",No
CANCELLED! - Track by Track,"962,175","1,631",No
...Ready For It? - Karaoke Version,"903,642",478,No
The Life of a Showgirl - Track by Track,"851,290","1,549",No
Honey - Track by Track,"844,720","1,547",No
Style - Karaoke Version,"839,763",806,No
Don't Blame Me - Karaoke Version,"837,062",339,No
Blank Space - Karaoke Version,"775,311",282,No
Look What You Made Me Do - Karaoke Version,"755,701",313,No
Change - Live From Clear Channel Stripped 2008,"729,250",311,No
Delicate - Karaoke Version,"627,141",334,No
Love Story - Instrumental with BGV,"626,433",174,No
Shake It Off - Karaoke Version,"608,559",268,No
Hey Stephen - Commentary,"563,511",121,No
All Too Well - Commentary,"525,634",62,No
Call It What You Want - Karaoke Version,"523,490",630,No
Getaway Car - Karaoke Version,"514,276",247,No
I Did Something Bad - Karaoke Version,"511,663",249,No
…Ready For It? - Commentary,"496,245",73,No
Wildest Dreams - Karaoke Version,"493,813",384,No
